Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP ALL OTHERS U/$500,111 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,4/2/2016 21:00,16,Closed,111 AVENUE OF CHAMPIONS,20160752,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,111 AVENUE OF CHAMPIONS
TBUT OR DISP ALL OTHERS U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/3/2016 22:00,16,Closed,310 SOUTH LIMESTONE STREET,20160749,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP BICYCLES U/$500,740 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/4/2016 22:00,16,Closed,740 WOODLAND AVENUE,20160767,TBUT OR DISP BICYCLES U/$500,Theft,Closed,740 WOODLAND AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",120 PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/5/2016 12:00,16,Open,120 PATTERSON DRIVE,20160776,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,120 PATTERSON DRIVE
TBUT OR DISP PARTS FROM VEHICLE UNDER $500,1398 LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/5/2016 16:00,16,Closed,1398 LIMESTONE STREET,20160760,TBUT OR DISP PARTS FROM VEHICLE UNDER $500,Theft,Closed,1398 LIMESTONE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/5/2016 23:15,16,Open,401 HILLTOP AVENUE,20160761,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,401 HILLTOP AVENUE
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,220 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,4/7/2016 19:02,16,Closed,220 AVENUE OF CHAMPIONS,20160770,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,Theft,Closed,220 AVENUE OF CHAMPIONS
"TBUT OR DISP ALL OTHERS U/$500
",703 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/7/2016 21:00,16,Open,703 SPORTS CENTER DRIVE,20160788,"TBUT OR DISP ALL OTHERS U/$500
",Theft,Open,703 SPORTS CENTER DRIVE
TBUT OR DISP FROM BUILDING U/$500,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 0:00,16,Closed,401 HILLTOP AVENUE,20160826,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,401 HILLTOP AVENUE
TBUT OR DISP SHOPLIFTING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 14:28,16,Closed,1000 SOUTH LIMESTONE STREET,20160774,TBUT OR DISP SHOPLIFTING U/$500,Theft,Closed,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 18:50,16,Unfounded,310 SOUTH LIMESTONE STREET,20160775,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Unfounded,310 SOUTH LIMESTONE STREET
TBUT OR DISP FROM SHIPMENT U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 19:30,16,Closed,310 SOUTH LIMESTONE STREET,20160802,TBUT OR DISP FROM SHIPMENT U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/8/2016 20:00,16,Closed,310 SOUTH LIMESTONE STREET,20160803,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP ALL OTHERS U/$500,725 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/9/2016 4:00,16,Open,725 ROSE STREET,20160782,TBUT OR DISP ALL OTHERS U/$500,Theft,Open,725 ROSE STREET
TBUT OR DISP BICYCLES U/$500,326 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Theft,4/9/2016 17:00,16,Open,326 SOUTH MARTIN LUTHER KING BOULEVARD,20160812,TBUT OR DISP BICYCLES U/$500,Theft,Open,326 SOUTH MARTIN LUTHER KING BOULEVARD
TBUT OR DISP ALL OTHERS U/$500; TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Theft,4/11/2016 15:20,16,Closed CSA,1350 BULL LEA ROAD,CSA20160439,TBUT OR DISP ALL OTHERS U/$500; TERRORISTIC THREATENING,Theft,Closed CSA,1350 BULL LEA ROAD
TBUT OR DISP FROM BUILDING U/$500,320 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/11/2016 19:30,16,Closed,320 SOUTH LIMESTONE STREET,20160801,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,320 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,140 PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/12/2016 12:50,16,Open,140 PATTERSON DRIVE,20160811,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,140 PATTERSON DRIVE
TBUT OR DISP ALL OTHERS U/$500,800 HOSPITAL DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/15/2016 11:00,16,Closed,800 HOSPITAL DRIVE,20160825,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,800 HOSPITAL DRIVE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/15/2016 20:00,16,Open,401 HILLTOP AVENUE,20160834,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",Theft,Open,401 HILLTOP AVENUE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/16/2016 7:20,16,Closed,1000 SOUTH LIMESTONE STREET,20161050,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,440 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/17/2016 6:00,16,Closed,440 HILLTOP AVENUE,20160882,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,440 HILLTOP AVENUE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,236 BOLIVAR STREET  ,Lexington,Kentucky,United States of America,Theft,4/17/2016 20:00,16,Closed,236 BOLIVAR STREET,20160848,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,Theft,Closed,236 BOLIVAR STREET
TBUT OR DISP FROM BUILDING U/$500,650 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/17/2016 22:00,16,Closed,650 WOODLAND AVENUE,20160865,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,650 WOODLAND AVENUE
TBUT OR DISP BICYCLES U/$500,650 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 10:00,16,Open,650 SPORTS CENTER DRIVE,20160847,TBUT OR DISP BICYCLES U/$500,Theft,Open,650 SPORTS CENTER DRIVE
TBUT OR DISP ALL OTHERS U/$500,440 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 13:02,16,Open,440 HILLTOP AVENUE,20160822,TBUT OR DISP ALL OTHERS U/$500,Theft,Open,440 HILLTOP AVENUE
TBUT OR DISP ALL OTHERS U/$500,754 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 16:00,16,Closed,754 WOODLAND AVENUE,20161004,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,754 WOODLAND AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 19:00,16,Citation Issued,1000 SOUTH LIMESTONE STREET,20160852,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Citation Issued,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/18/2016 21:45,16,Closed,401 HILLTOP AVENUE,20160849,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,401 HILLTOP AVENUE
THEFT OR PROP MISLAID OR DELIVER BY MISTAKE,720 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/19/2016 0:30,16,Closed,720 WOODLAND AVENUE,20160837,THEFT OR PROP MISLAID OR DELIVER BY MISTAKE,Theft,Closed,720 WOODLAND AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/19/2016 3:00,16,Closed,800 ROSE STREET,20160853,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,800 ROSE STREET
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/19/2016 8:00,16,Open,1000 SOUTH LIMESTONE STREET,20160855,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,1000 SOUTH LIMESTONE STREET
TBUT OR DISP ALL OTHERS U/$500; CRIMINAL MISCHIEF 3RD DEGREE,140 HUGUELET DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/20/2016 17:00,16,Closed,140 HUGUELET DRIVE,20160870,TBUT OR DISP ALL OTHERS U/$500; CRIMINAL MISCHIEF 3RD DEGREE,Theft,Closed,140 HUGUELET DRIVE
TBUT OR DISP SHOPLIFTING U/$500,338  LEXINGTON AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/20/2016 18:24,16,Open,338  LEXINGTON AVENUE,20160873,TBUT OR DISP SHOPLIFTING U/$500,Theft,Open,338  LEXINGTON AVENUE
TBUT OR DISP BICYCLES U/$500,900 LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/22/2016 12:00,16,Closed,900 LIMESTONE STREET,20160884,TBUT OR DISP BICYCLES U/$500,Theft,Closed,900 LIMESTONE STREET
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",763 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/23/2016 3:10,16,Open,763 WOODLAND AVENUE,20160892,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",Theft,Open,763 WOODLAND AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/23/2016 8:00,16,Open,800 ROSE STREET,20160899,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,800 ROSE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/24/2016 0:15,16,Closed,401 HILLTOP AVENUE,20160909,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,401 HILLTOP AVENUE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,1540 UNIVERSITY DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/24/2016 13:00,16,Closed,1540 UNIVERSITY DRIVE,20160921,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,Theft,Closed,1540 UNIVERSITY DRIVE
"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",900 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/24/2016 22:30,16,Open,900 SOUTH LIMESTONE STREET,20160912,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",Theft,Open,900 SOUTH LIMESTONE STREET
TBUT OR DISP PARTS FROM VEHICLE UNDER $500,140 HUGUELET DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/26/2016 18:00,16,Open,140 HUGUELET DRIVE,20160935,TBUT OR DISP PARTS FROM VEHICLE UNDER $500,Theft,Open,140 HUGUELET DRIVE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,349 SCOTT STREET  ,Lexington,Kentucky,United States of America,Theft,4/27/2016 12:00,16,Open,349 SCOTT STREET,2016069055,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,Theft,Open,349 SCOTT STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",1210 UNIVERSITY DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/27/2016 16:00,16,Closed,1210 UNIVERSITY DRIVE,20161049,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,1210 UNIVERSITY DRIVE
TBUT OR DISP ALL OTHERS U/$500,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/29/2016 2:00,16,Closed,401 HILLTOP AVENUE,20160944,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,401 HILLTOP AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",440 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/29/2016 18:00,16,Open,440 HILLTOP AVENUE,20160976,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,440 HILLTOP AVENUE
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/30/2016 17:30,16,Closed,1000 SOUTH LIMESTONE STREET,20160959,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,300 ALUMNI DRIVE  ,Lexington,Kentucky,United States of America,Theft,5/2/2016 0:01,17,Open,300 ALUMNI DRIVE,20160970,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,300 ALUMNI DRIVE
TBUT OR DISP BICYCLES U/$500,765 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,5/2/2016 1:20,17,Closed,765 WOODLAND AVENUE,20160971,TBUT OR DISP BICYCLES U/$500,Theft,Closed,765 WOODLAND AVENUE
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,5/2/2016 2:45,17,Closed CSA,1000 SOUTH LIMESTONE STREET,CSA20160516,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed CSA,1000 SOUTH LIMESTONE STREET
"THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500; UNLAWFUL ACCESS TO COMPUTER, 4TH DEGREE",505 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,5/2/2016 19:24,17,Closed,505 ROSE STREET,20160977,"THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500; UNLAWFUL ACCESS TO COMPUTER, 4TH DEGREE",Theft,Closed,505 ROSE STREET
TBUT OR DISP FROM BUILDING U/$500,340 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,5/5/2016 20:00,17,Open,340 HILLTOP AVENUE,20161018,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,340 HILLTOP AVENUE
TBUT OR DISP FROM BUILDING U/$500,740 LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,5/5/2016 21:00,17,Open,740 LIMESTONE STREET,20161041,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,740 LIMESTONE STREET
TBUT OR DISP ALL OTHER U/$500,344 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Theft,5/7/2016 1:45,17,Closed,344 SOUTH MARTIN LUTHER KING BOULEVARD,20161025,TBUT OR DISP ALL OTHER U/$500,Theft,Closed,344 SOUTH MARTIN LUTHER KING BOULEVARD
TBUT OR DISP BICYCLES U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,5/8/2016 14:30,17,Closed,310 SOUTH LIMESTONE STREET,20161033,TBUT OR DISP BICYCLES U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP BICYCLES U/$500,650 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,5/8/2016 16:00,17,Closed,650 WOODLAND AVENUE,20161045,TBUT OR DISP BICYCLES U/$500,Theft,Closed,650 WOODLAND AVENUE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",330 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,5/12/2016 16:45,17,Closed,330 SOUTH LIMESTONE STREET,20161056,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",Theft,Closed,330 SOUTH LIMESTONE STREET
TBUT OR DISP BICYCLES U/$500; CRIMINAL MISCHIEF 3RD DEGREE,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,5/12/2016 19:18,17,Closed,401 HILLTOP AVENUE,20161076,TBUT OR DISP BICYCLES U/$500; CRIMINAL MISCHIEF 3RD DEGREE,Theft,Closed,401 HILLTOP AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000
",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,5/13/2016 15:30,17,Closed,800 ROSE STREET,200161065,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000
",Theft,Closed,800 ROSE STREET
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,5/13/2016 22:30,17,Open,800 ROSE STREET,20161071,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,Theft,Open,800 ROSE STREET
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,5/14/2016 1:00,17,Closed,310 SOUTH LIMESTONE STREET,20161069,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP SHOPLIFTING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,5/14/2016 20:35,17,Closed,310 SOUTH LIMESTONE STREET,20161075,TBUT OR DISP SHOPLIFTING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
